a	art.一(个，件，...)
airless	adj. 缺少空气的；不通风的
airlift	空运
airline	n.航空公司；航线
air-line	n. 航空公司
airline timetable	航空时刻表
airliner	n. 定期班机,客机
airmail	n. 航空邮件
airplane	n.飞机
airport	n.机场，航空站
air-raid	n. 空袭
airship	n. 飞艇,飞船
airsick	晕机
airsick,seasick,carsick	晕机、晕船、晕车
airtight	adj. 密封的
air-tight	a. 密封的
airway	n. 航线
air-way	n. 航空线；航空公司
airway bill	空运货物单
airy	a. 空气的,幻想的,轻快的
aisle	n. 走廊,侧廊
ait	n. 河中小岛
ajar	a. 微开的,半开的,不和谐的
akimbo	a. 两手叉腰的
akin	a. 血族的,同族的,同种的
al	n. 艾尔(男名)
alabama	n. 亚拉巴马(州)(美国)
alabaster	adj. 雪白的
alacrity	n. 敏捷,轻快,乐意
alarm	n.惊恐，忧虑；警报
alarming	adj. 警告的；引起惊恐的
alas	int.唉，哎呀
alaska	n. 阿拉斯加(州)(美国)
albany	n. 纽约州州城(美国)
albatross	n. 信天翁
albeit	conj. 纵令…,虽然…,虽则,即
albert borden	阿尔伯特·博登(人名)
albert einstein	阿尔伯特·爱因斯坦
albino	n. 白公,白化病者,白化变种
album	n.粘贴簿；相册；文选
albumen	n. 蛋白,胚乳
albumin	n. 蛋白质,蛋白素
alchemist	n. 炼丹家
alchemy	n. 炼金术
alcohol	n.酒精，乙醇
alcoholic	n. 酒鬼,酒精中毒的人
alcoholic beverage	含酒精的饮料
alcoholism	n. 嗜酒者，酒鬼
alcove	n. 凹室，壁龛
aldehyde	n. 醛；乙醛
alder	n. 赤杨
alderman	n. 市府参事,市议员
aldosterone	n. 醛固酮
ale	n. 淡啤酒
alert	a.警惕的；活跃的
alertness	n. 警戒,机敏
alexandre manette	亚历山大·莫耐特
alexandria	n. 亚历山大(埃及港市)
alexandrine	n. 亚历山大诗行,这种形式的诗
alfalfa	n. 紫花苜蓿
alfred wallace	阿尔弗雷德·华莱士
alga	n. 水藻
algebra	n.代数学
algeria	n. 阿尔及利亚
algerian	a. 阿尔及利亚的
algiers	n. 阿尔及尔
alias	n. 化名，别名
alibi	n. 不在场证明辩解,托辞
alice	艾莉丝(女名)
alice green	艾丽斯·格林
alien	a.外国的 n.外国人
alien firm	外国商号
alien immigration	外国移民
alien property	外国财产
alien registration card	外国人登记卡
alien to	与…不合，相反；相异的
alienate	vt. 使疏远,离间,让与
alienated	adj. 疏远的，被隔开的
alienation	n. 疏远,离间,割让
alienation of commodities	商品转让
alienation of the pledge	抵押品转让
alienator	让渡人，转让人
alienee	受让人
alight	vi. 落下,偶然发现
align	v. & n. 定位，对准；vt. 排列；使成直线；使成一线；使结盟；校准，校直，结盟，合作，调节，调准；vi. 成一线，排成一行，(with)结盟
aligned	a. 对准的，均衡的
alignment	n.队列；结盟，联合
alike	a.同样的，相同的
aliment	n. 食物,滋养品
alimentary	a. 食物的,滋养的
alimentary products	食品
alimentation	营养
alimony	n. 瞻养费
alive	adj.活着
alkali	n. 碱
alkaline	a. 碱的,碱性的
alkalinity	n. 碱浓度；碱性
alkaloid	n. 生物碱,植物碱基
all	adv.都
all along	一直，始终；一贯
all around	在四面八方
all at once	突然；同时；一起
all but	几乎，差一点；除…之外，其余都是
all day	整天，一天到晚
all day and all night	整日整夜
all day long	adv. 长久，整天
all high	空前最高记录
all in all	总的说来；头等重要的；全部，最心爱的
all kinds of	各种各样的
all night long	整夜
all of a sudden	突然，冷不防
all one's life	一生；终生；一辈子
all out	竭尽全力
all out effort	最大努力
all over	遍及…的每一部分；到处，遍及；全部结束；浑身
all over again	再一次，重新
all over the country	遍及全国
all over the world	全世界
all price	各费在内的价格
all ready	一切就绪
all received	收讫
all right	好吧，行(口语)；没关系；不用谢；(病)好了；行了；好；不错，可以；顺利；确实；令人满意的
all round	(在…)周围，处处
all sorts of	各种各样的
all squared	结清
all the same	尽管如此；仍然；然而；照样地
all the same to	无所谓
all the time	一直；始终；每时每刻
all the while	一直地
all the years round	一年到头
all through	自始至终
all told	总共
all too	太
allan	n. 艾伦(姓)
all-around	a.全面的；综合性的
allay	vt. 使镇静,使缓和
allegation	n. （无证据的）指控
allege	vt. 宣称,申述,主张,断言
allegiance	n. 忠诚，拥护
allegorical	a. 寓言的,寓意的,讽喻
allegory	n. 寓意；寓言
allen	阿伦(男名)
allergic	adj. 过敏性的；变态的；变应性的，对...讨厌的
allergic to	对…过敏；讨厌
allergy	n. 反感，过敏；过敏性反应，过敏症；厌恶
alleviate	v. 缓和，减轻
all-expense tour	包价旅行
alley	n. 小巷，小径
alliance	n. 联盟,联合
allied	a.联合的；联姻的
allied company	联合公司
allies	n. (一次大战)协约国
alligator	n. 短吻鳄（一种鳄鱼）
all-in	全部的，包括一切的
all-inclusive price	统包价格
alliteration	n. 头韵
all-night	a. 通霄的
all-night service	通宵服务
allo	a. 紧密相连的
allocate	vt. 分派,分配
allocation	n. 分配；配给物；拨款，拨款权，拨给
allocation of cost	成本分配
allocation of resources	资源分配
allocation of responsibilities	责任分派
allonge	(法)票据背书附条
allopathy	n. (医)对抗疗法
allot	vt. 分配,分摊指定
allotment	n. 分配,配给的土地,命运
allotment warden	分配管理人
allow	vt.允许，准许；任
allow credit	给予信贷
allow for	考虑到，估计到；体谅；酌量
allow of	容许(有…)，容得
allowable	a. 可允许的,正当的,可承认的
allowance	n津贴，补助费
allowance and rebates	折让与回扣
allowance for corrosion	允许腐蚀度
allowance for damage	货损折扣
allowance for depreciation	折旧提存
allowance in kind	实物津贴
allowance of credit	销售折让
allowed	a. 容许的
allowed cost	容许成本
allowed time	放宽时间
alloy	n.合金；(金属的)成色
all-purpose bank	经营全面业务银行
all-purpose parlor	全功能厅
all-round	a. 全面的；综合性的
all-round advance	一齐涨价
all-round price	全面价格
allspice	n. 甜胡椒,由甜胡椒制成的香味料
allude	v. 间接提到，暗指
allude to	婉转地说
allure	v. 引诱，n. 诱惑力
allurement	n. 诱惑物
alluring	a. 诱惑的；迷人的
allusion	n. 暗示
alluvial	adj. 冲积的
ally	n.同盟国；同盟者
almanac	n. 年鉴,历书
almighty	a. 万能的,全能的
almond	n. 杏树，杏仁
almoner	n. 施赈人员
almost	ad.几乎，差不多
alms	n. 施舍，捐献，救济金
alms box	(教堂内或门口的)施舍箱，布施箱
almshouse	n. 私立济贫院或养老院,公立救济院
aloft	ad. 在高处,在上
alone	a.单独的 ad.单独地
along	prep.沿着 ad.向前
along with	同…一道(一起)；与…一起
alongside	prep.在…旁边
aloof	a. 远离的；孤零的
aloud	ad.出声地，大声地
alp	n. 高山
alpaca	n. 羊驼,羊驼毛,羊驼呢
alpha	n. 希腊字母的第一个字母,最初,
alphabet	n.字母表
alphabetical	adj.依字母顺序的
alphabetically	ad. 按字母表顺序
alpine	a. 高山的,极高的
alpinist	n. 登山运动员
alps	n. (the-)阿尔卑斯山脉
already	ad.早已，已经
alsace	n. 阿尔萨斯(法国地名)
also	ad.亦，也；而且，还
altar	n. 祭坛，圣坛
alter	vt.改变，变更；改做
alteration	n.变更，改变；蚀变
altercation	n. 争吵，争论
alternate	vt.使交替 a.交替的
alternate design	备选设计方案
alternate product	代制品
alternate year	隔一年
alternately	ad. 交替地，轮流地
alternation	n. 交互,轮流,隔一个
alternative	n.替换物；取舍，抉择
alternative air fares	可供选择的多种航空票价
alternative cost	选择成本
alternative courses	代替方案
alternatively	adv. 交互地；交替地；另外，此外；两者择一
although	conj.虽然
altitude	n.高，高度；高处
alto	n. 次高音,女低音,次高音歌手
altogether	ad.完全；总而言之
altorf	n. 阿尔托夫(瑞士城市)
altorfer	n. 阿尔托夫人
altruism	n. 利他主义；爱他主义；不自私；无私
altruistic	a. 利他的,无私心的
alum	n. 明矾
aluminium	n.铝
aluminum	n. 铝
alumni	n. 男校友；男毕业生
alumnus	男校友
alveolus	n. 肺泡
always	adv.总是，一直
am	n. (我)是；v. 是；be的第一人称单数
amaesthetic	n.麻醉剂
amain	ad. 全力地,全速地,急速地,突然
amalgam	n. 混合物
amalgamate	v. 合并，混合
amalgamated balance sheet	合并资产负债表
amalgamation	n. 与汞混合,融合,合并
amalgamation of business	企业合并
amanuensis	n. 笔记者,抄写员,书记
amaranth	n. 不凋花,苋属植物,紫红色
amaranthine	a. 不凋的,不死的,紫红的
amass	v. 积聚
amateur	a.业余的n.业余爱好者
amateur in	业余爱好者
amateurish	adj. 业余爱好的，不熟练的
amatory	a. 恋爱的,情人的
amaze	vt.使惊奇，使惊愕
amazed	惊愕的
amazed at	吃惊于…；吃惊，惊愕
amazement	n.惊异，诧异
amazing	adj. 惊人的；惊奇的；令人惊异的
amazingly	ad. 惊人地；惊奇地
amazon	n. 女战士
ambassador	n.大使，使节
ambassador of commerce	旅行商业家，行商
amber	n. 琥珀色
ambergris	n. 龙涎香
amber-like	a. 琥珀色的
ambidextrous	adj. 十分灵巧的
ambient	a.周围的，包围着的
ambiguity	n. 模棱两可
ambiguous	a.模棱两可的；分歧的
ambit	n. 界限，范围，周围
ambition	n.雄心，抱负，野心
ambitions	a. 有雄心的，野心勃勃的
ambitious	a.有雄心的；热望的
ambivalence	n. 有两种相冲突的情感；矛盾心理
ambivalent	adj. (对人或物)有矛盾看法的；有矛盾情绪的
amble	n./v. 漫步，缓行
ambrosia	n. 神仙食品，美味
ambrosial	a. 特别美味的
ambulance	n.救护车；野战医院
ambulatory	adj. 步行的; 移步用的
ambulatory business	流动营业
ambulatory chattels	动产
ambuscade	n. 埋伏,伏兵,埋伏处
ambush	n./v. 埋伏，伏击
ameliorate	vt. 改善；缓和
amelioration	n. 改善,改良,改进
amen	int. 阿门
amenable	adj. 愿服从的，通情达理的
amenable to...	可以治好的
amend	vt. 修正,改善,改良
amendment	n. 改正，修正
amendment advice	修改通知书
amendment of contract	修改合同
amends	n. 赔偿；赔罪
amenities	n. 令人愉快之事物
amenity	n. 愉快，适意
ament	n. 智力缺陷者；精神错乱者
America	n.美洲；美国
American	a.美洲的 n.美国人
american indian	美洲印第安人
Americanism	a. 美国所创,美国风俗,美国精神
Americanization	n. 美国化
amerindian	n. 美洲印第安人
amethyst	n. 紫水晶
amiable	adj. 和蔼的，亲切的
amiable composition	友好调解
amicable	adj. 友好的
amid	prep. 在...中间
amidships	ad. 在船中部,在船腹
amidst	prep. 在...当中
amino acid	氨基酸
amiss	a. 有毛病的,出差错的
amity	n. 友好,亲善关系
ammonia	n. (化)氨
ammonite	n. 菊石
ammonium	n. 氨盐基,铵
ammunition	n. 军火,弹药
amnesia	n. 健忘症
amnesty	n. 大赦，特赦
amoeba	n. 阿米巴,变形虫
among	prep.在…之中
among other things	其中；格外
amongst	prep在…之中(=among)
amoral	adj. 不知是非的
amorous	adj. 容易动情的，情爱的
amorphous	adj. 无定形的，散漫的
amortization	 n. 亦作 amortizement
amortization period	清偿期
amortize	v. 分期偿还
amory	n. 艾默利(姓)
amount	n.总数；数量；和
amount advanced	预付金额
amount covered	保险金额
amount differ	大小写金额不符
amount due	到期金额
amount in arrears	拖欠金额
amount in figures	小写金额
amount in words	大写金额
amount invested	投资额
amount of balance	帐目余额
amount of bond	保证金
amount of bonus	奖金额
amount of business	交易额
amount of consumption	消费额
amount of draft	汇票金额
amount of hand	现存总数
amount of indebtedness	债务总额
amount of loss	亏损额
amount of norm	定额数
amount of order	订货数量
amount of sales	销售额
amount of subscription	认购额
amount of the credit	信用保证金额
amount of the instrument	票据金额
amount of turnover	周转额
amount outstanding	未收回余额
amount overpaid	多付款项
amount oversold	售出逾额
amount paid in	实缴金额
amount secured	被保险金额
amount shipped out	发出数量
amount to	总共达到；实际上是
amount undercharged	少算款项
amount undercollected	少收款项
amour	n. 奸情,恋情
ampere	n.安培
ampersand	n. &号(and)
amphibian	a. 两栖类的,水陆两用的
amphibious	a. 水陆两栖,两用的,陆海空军协同作战的
amphitheater	n. 圆形剧场,斗技场,似圆形剧场的处所
ample	a.足够的；宽敞的
ample resources	足够的资金
amplification	n. 扩大；加强
amplifier	n. 放大器
amplify	vt.放大，增强；扩大
amplitude	n.广大；充足；振幅
amply	ad. 充足地,详细地
amputate	v. 切除
amputation	n. 切断,切断手术
amsterdam	n. 阿姆斯特丹(荷兰)
amuck	ad. 狂乱地,杀气腾腾地
amulet	n. 护身符
amuse	vt.娱乐；逗...乐
amusement	n.娱乐，消遣，乐趣
amusement expenses	交际接待费用
amusement tax	娱乐税
amusing	adj. 令人感到有趣的；有趣的，逗人笑的；使人发笑的
amy	艾米(女名)
an	 art. 一(个，件，…)；(不定冠词，在元音前)；每一；任何一人；一个（本…）
an alumni reunion	校会聚会
an english evening	英语晚会
an english-chinese dictionary	英汉词典
an evening paper	晚报
an hour's ride	乘车一小时的路程
an opening ceremony	开幕式
anabolism	n. 组成代谢，合成代谢；同化作用
anachronism	n. 时代错误；年代错误，落伍之物；落伍
anaemia	n. 贫血,贫血症
anaesthesia	麻醉
anaesthetic	n. 麻醉剂
analgesia	n. 止痛法；无痛
analgesic	n. 镇痛剂，adj. 止痛的
analogous	adj. 类似的
analogue	n. 类似物；同源语；模拟
analogy	n.相似，类似；比拟
analyse	vt.分析，分解，解析
analyse/-yze	vt. 分析，分解
analysis	n.分析，分解，解析
analyst	n. 分析员
analytic	a. 分析的,解析的
analytical	a. 分析的,解析的
analyze	vt. 分析,分解
anarch	 n. 无政府主义者
anarchic	adj. 无政府的
